,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
75,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and mathematical science occupations,250,10.5,59490,3.9,55660,2009,2320.11,2907.7938630000003,26.25,4547.4156,5699.27597148,51.449999999999996
227,211000,Oil and Gas Extraction,15-0000,Computer and mathematical science occupations,3750,13.9,76430,2.0,74650,2009,1528.6,1915.7943800000003,521.25,2996.0559999999996,3754.9569848000006,1021.65
397,212000,Mining (except Oil and Gas),15-0000,Computer and mathematical science occupations,370,7.8,63780,1.7,62800,2009,1084.26,1358.903058,28.86,2125.1495999999997,2663.4499936800003,56.565599999999996
581,213000,Support Activities for Mining,15-0000,Computer and mathematical science occupations,1030,11.0,69220,4.1,67450,2009,2838.02,3556.890466,113.3,5562.5192,6971.5053133599995,222.06799999999998
778,221000,Utilities,15-0000,Computer and mathematical science occupations,17090,5.1,76830,1.1,76410,2009,845.13,1059.201429,871.59,1656.4548,2076.0348008399997,1708.3164
1037,236000,Construction of Buildings,15-0000,Computer and mathematical science occupations,3790,5.9,65000,1.5,61710,2009,975.0,1221.9675000000002,223.61,1911.0,2395.0563,438.2756
1271,237000,Heavy and Civil Engineering Construction,15-0000,Computer and mathematical science occupations,1730,11.4,68320,2.2,63080,2009,1503.04,1883.7600320000001,197.22,2945.9584,3692.1696627200004,386.5512
1539,238000,Specialty Trade Contractors,15-0000,Computer and mathematical science occupations,4010,7.0,64810,2.0,62050,2009,1296.2,1624.5274600000002,280.7,2540.552,3184.0738216000004,550.1719999999999
1841,311000,Food Manufacturing,15-0000,Computer and mathematical science occupations,5540,1.8,92890,13.7,77100,2009,12725.93,15949.408069000003,99.72,24942.8228,31260.839815240004,195.4512
2098,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and mathematical science occupations,960,7.9,72810,3.8,72670,2009,2766.78,3467.605374,75.84,5422.888800000001,6796.50653304,148.6464
