,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
12429,531000,Real Estate,15-0000,Computer and Mathematical Occupations,8370.0,3.7,67100.0,2.8,63130.0,2011,1878.8,2354.70004,309.69,3682.448,4615.2120784,606.9924
12676,532000,Rental and Leasing Services,15-0000,Computer and Mathematical Occupations,2660.0,9.9,68430.0,3.1,66160.0,2011,2121.33,2658.6628890000006,263.34,4157.806799999999,5210.979262440002,516.1464
12893,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),15-0000,Computer and Mathematical Occupations,1440.0,11.3,71170.0,3.5,67010.0,2011,2490.95,3121.907635,162.72000000000003,4882.262,6118.9389646,318.93120000000005
13012,541000,"Professional, Scientific, and Technical Services",15-0000,Computer and Mathematical Occupations,1174180.0,0.8,83050.0,0.4,78750.0,2011,332.2,416.34626000000003,9393.44,651.112,816.0386696,18411.1424
13586,551000,Management of Companies and Enterprises,15-0000,Computer and Mathematical Occupations,196190.0,1.4,77480.0,0.5,75640.0,2011,387.4,485.52842000000004,2746.66,759.304,951.6357032000001,5383.4536
14068,561000,Administrative and Support Services,15-0000,Computer and Mathematical Occupations,139750.0,2.2,70540.0,0.7,66190.0,2011,493.78,618.8544740000001,3074.5,967.8087999999999,1212.9547690400002,6026.0199999999995
14655,562000,Waste Management and Remediation Services,15-0000,Computer and Mathematical Occupations,1260.0,9.2,74580.0,2.0,76000.0,2011,1491.6,1869.42228,115.92,2923.5359999999996,3664.0676688,227.2032
14868,611000,Educational Services,15-0000,Computer and Mathematical Occupations,202620.0,1.6,59500.0,0.6,55900.0,2011,357.0,447.42810000000003,3241.92,699.72,876.9590760000001,6354.1632
15459,621000,Ambulatory Health Care Services,15-0000,Computer and Mathematical Occupations,31600.0,2.5,64610.0,1.3,60860.0,2011,839.93,1052.684269,790.0,1646.2628,2063.2611672400003,1548.3999999999999
15821,622000,Hospitals,15-0000,Computer and Mathematical Occupations,64700.0,1.3,65850.0,0.4,63960.0,2011,263.4,330.11922,841.1,516.2639999999999,647.0336712,1648.556
16228,623000,Nursing and Residential Care Facilities,15-0000,Computer and Mathematical Occupations,2200.0,4.0,54040.0,1.0,51580.0,2011,540.4,677.2833200000001,88.0,1059.184,1327.4753072000003,172.48
16504,624000,Social Assistance,15-0000,Computer and Mathematical Occupations,6630.0,2.6,54000.0,1.4,49190.0,2011,756.0,947.4948,172.38,1481.76,1857.0898080000002,337.8648
16816,711000,"Performing Arts, Spectator Sports, and Related Industries",15-0000,Computer and Mathematical Occupations,2490.0,5.6,62800.0,1.6,58650.0,2011,1004.8,1259.31584,139.44,1969.408,2468.2590464,273.3024
17050,712000,"Museums, Historical Sites, and Similar Institutions",15-0000,Computer and Mathematical Occupations,1480.0,9.1,59980.0,2.0,56350.0,2011,1199.6,1503.4586800000002,134.68,2351.216,2946.7790128,263.9728
17253,713000,"Amusement, Gambling, and Recreation Industries",15-0000,Computer and Mathematical Occupations,2680.0,7.0,59430.0,3.7,57190.0,2011,2198.91,2755.893903,187.6,4309.8636,5401.552049880001,367.69599999999997
17548,721000,Accommodation,15-0000,Computer and Mathematical Occupations,1970.0,6.4,52830.0,1.2,47520.0,2011,633.96,794.542068,126.08,1242.5616,1557.30245328,247.11679999999998
17787,722000,Food Services and Drinking Places,15-0000,Computer and Mathematical Occupations,190.0,16.2,51420.0,4.3,50420.0,2011,2211.06,2771.121498,30.78,4333.6776,5431.39813608,60.3288
17954,811000,Repair and Maintenance,15-0000,Computer and Mathematical Occupations,6920.0,7.6,61820.0,2.7,55950.0,2011,1669.14,2091.933162,525.92,3271.5144,4100.188997519999,1030.8031999999998
18207,812000,Personal and Laundry Services,15-0000,Computer and Mathematical Occupations,1250.0,12.2,69540.0,5.7,67210.0,2011,3963.78,4967.805474000001,152.5,7769.0088000000005,9736.898729040002,298.9
18448,813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",15-0000,Computer and Mathematical Occupations,20390.0,2.1,66430.0,1.0,61750.0,2011,664.3,832.5671900000001,428.19,1302.0279999999998,1631.8316924,839.2524
18837,999000,"Federal, State, and Local Government (excluding state and local schools and hospitals)",15-0000,Computer and Mathematical Occupations,243540.0,0.3,75370.0,0.3,73300.0,2011,226.11,283.383663,730.62,443.17560000000003,555.43197948,1432.0152
