,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
55,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3370.0,4.8,19.105,86160.0,3.3,78980.0,2016,2843.28,3563.482824,0.91704,161.76,5572.8288,6984.426335040001,1.7973983999999998,317.0496
489,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,550.0,5.2,14.771,76530.0,3.4,73670.0,2016,2602.02,3261.111666,0.768092,28.6,5099.9592,6391.778865359999,1.50546032,56.056000000000004
700,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,Computer and Mathematical Occupations,350.0,20.7,8.555,50550.0,9.9,46840.0,2016,5004.45,6272.077185000001,1.7708849999999998,72.45,9808.722,12293.271282600002,3.4709345999999996,142.002
913,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,780.0,7.3,14.42,67030.0,3.5,63420.0,2016,2346.05,2940.304465,1.05266,56.94,4598.258000000001,5762.9967514,2.0632135999999996,111.60239999999999
1169,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,12050.0,4.5,23.886,76330.0,1.3,74720.0,2016,992.29,1243.6370570000001,1.07487,542.25,1944.8883999999998,2437.5286317200002,2.1067451999999998,1062.81
1703,AL,19300,"Daphne-Fairhope-Foley, AL",15-0000,Computer and Mathematical Occupations,380.0,13.3,5.435,63430.0,6.0,60920.0,2016,3805.8,4769.80914,0.722855,50.54,7459.368,9348.8259144,1.4167958,99.05839999999999
1952,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,440.0,10.9,8.308,72480.0,4.0,67950.0,2016,2899.2,3633.5673600000005,0.9055719999999999,47.96,5682.432,7121.792025600001,1.77492112,94.0016
2199,AL,20020,"Dothan, AL",15-0000,Computer and Mathematical Occupations,330.0,17.5,6.0,58590.0,2.9,57330.0,2016,1699.11,2129.494563,1.05,57.75,3330.2556,4173.80934348,2.058,113.19
2449,AL,22520,"Florence-Muscle Shoals, AL",15-0000,Computer and Mathematical Occupations,190.0,7.5,3.638,53820.0,3.2,52680.0,2016,1722.24,2158.483392,0.27285,14.25,3375.5904,4230.62744832,0.534786,27.93
2683,AL,23460,"Gadsden, AL",15-0000,Computer and Mathematical Occupations,90.0,17.3,2.463,59140.0,6.7,60370.0,2016,3962.38,4966.050854,0.426099,15.57,7766.2648,9733.45967384,0.83515404,30.5172
