,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,JOBS_1000_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,JOBS_1000_ME,TOT_EMP_ME
38199,VA,25500,"Harrisonburg, VA",15-0000,Computer and Mathematical Occupations,840.0,7.7,14.373,64700.0,4.4,57160.0,2013,2846.8,3567.89444,1.106721,64.68,5579.728,6993.0731024,2.16917316,126.77280000000002
38484,VA,31340,"Lynchburg, VA",15-0000,Computer and Mathematical Occupations,1400.0,19.2,14.303,76920.0,6.3,66340.0,2013,4845.96,6073.441668,2.7461759999999997,268.8,9498.0816,11903.945669280001,5.3825049599999994,526.848
38866,VA,40060,"Richmond, VA",15-0000,Computer and Mathematical Occupations,20460.0,5.0,33.756,79610.0,1.5,77810.0,2013,1194.15,1496.6281950000002,1.6878,1023.0,2340.534,2933.3912622000003,3.3080879999999997,2005.08
39476,VA,40220,"Roanoke, VA",15-0000,Computer and Mathematical Occupations,2330.0,7.6,15.553,67570.0,2.1,61290.0,2013,1418.97,1778.395101,1.1820279999999999,177.08,2781.1812,3485.65439796,2.3167748799999996,347.0768
39905,VA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",15-0000,Computer and Mathematical Occupations,21520.0,4.6,29.699,76070.0,1.3,74130.0,2013,988.91,1239.4009030000002,1.3661539999999999,989.9199999999998,1938.2636,2429.2257698800004,2.67766184,1940.2431999999997
40503,VA,49020,"Winchester, VA-WV",15-0000,Computer and Mathematical Occupations,610.0,5.0,11.5,71990.0,4.0,68400.0,2013,2879.6,3609.0026800000005,0.575,30.5,5644.016,7073.645252800001,1.127,59.78
40781,VT,72400,"Burlington-South Burlington, VT",15-0000,Computer and Mathematical Occupations,4050.0,9.1,34.674,70040.0,1.6,66030.0,2013,1120.64,1404.498112,3.155334,368.55,2196.4544,2752.81629952,6.184454639999999,722.3580000000001
41165,WA,13380,"Bellingham, WA",15-0000,Computer and Mathematical Occupations,1310.0,16.8,17.134,71340.0,4.7,67690.0,2013,3352.98,4202.289834,2.878512,220.08,6571.8408,8236.48807464,5.64188352,431.3568
41508,WA,14740,"Bremerton-Silverdale, WA",15-0000,Computer and Mathematical Occupations,1490.0,7.1,19.158,78740.0,2.8,75540.0,2013,2204.72,2763.175576,1.3602180000000001,105.79,4321.2512,5415.82412896,2.66602728,207.3484
41826,WA,28420,"Kennewick-Pasco-Richland, WA",15-0000,Computer and Mathematical Occupations,1830.0,7.1,18.597,80460.0,3.1,77210.0,2013,2494.26,3126.056058,1.320387,129.93,4888.7496,6127.0698736800005,2.58795852,254.6628
