,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
160,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and Mathematical Occupations,210.0,9.9,70530.0,4.6,64890.0,2016,3244.38,4066.1814540000005,20.79,6358.9848,7969.715649840001,40.7484
466,211000,Oil and Gas Extraction,15-0000,Computer and Mathematical Occupations,8570.0,8.5,97790.0,2.2,92590.0,2016,2151.38,2696.3245540000003,728.45,4216.7048,5284.79612584,1427.7620000000002
843,212000,Mining (except Oil and Gas),15-0000,Computer and Mathematical Occupations,400.0,6.4,71810.0,1.6,68140.0,2016,1148.96,1439.991568,25.6,2251.9616,2822.3834732799996,50.176
1209,213000,Support Activities for Mining,15-0000,Computer and Mathematical Occupations,1780.0,11.5,91210.0,5.2,84760.0,2016,4742.92,5944.301636000001,204.7,9296.1232,11650.831206560002,401.212
1640,221000,Utilities,15-0000,Computer and Mathematical Occupations,20900.0,4.1,89640.0,1.1,88280.0,2016,986.0400000000002,1235.8039320000003,856.8999999999999,1932.6384000000003,2422.1757067200006,1679.5239999999997
2164,236000,Construction of Buildings,15-0000,Computer and Mathematical Occupations,4870.0,6.5,77600.0,3.6,70830.0,2016,2793.6,3501.2188800000004,316.55,5475.456,6862.3890048,620.438
2657,237000,Heavy and Civil Engineering Construction,15-0000,Computer and Mathematical Occupations,2770.0,12.7,75050.0,4.6,68990.0,2016,3452.3,4326.76759,351.79,6766.508,8480.4644764,689.5084
3182,238000,Specialty Trade Contractors,15-0000,Computer and Mathematical Occupations,7670.0,9.4,67970.0,3.2,63440.0,2016,2175.04,2725.9776320000005,720.98,4263.078399999999,5342.916158720001,1413.1208
3762,311000,Food Manufacturing,15-0000,Computer and Mathematical Occupations,4910.0,7.0,72980.0,1.3,68980.0,2016,948.74,1189.0558420000002,343.7,1859.5303999999999,2330.5494503200002,673.6519999999999
4283,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and Mathematical Occupations,1180.0,6.7,74410.0,2.6,72060.0,2016,1934.66,2424.709378,79.06,3791.9336000000003,4752.43038088,154.9576
4605,313000,Textile Mills,15-0000,Computer and Mathematical Occupations,520.0,4.9,66900.0,1.8,64090.0,2016,1204.2,1509.22386,25.48,2360.232,2958.0787656,49.9408
4845,314000,Textile Product Mills,15-0000,Computer and Mathematical Occupations,520.0,6.5,63620.0,2.3,59060.0,2016,1463.26,1833.9037580000002,33.8,2867.9896,3594.4513656800004,66.24799999999999
5118,315000,Apparel Manufacturing,15-0000,Computer and Mathematical Occupations,730.0,8.3,75580.0,2.7,70840.0,2016,2040.66,2557.5591780000004,60.59000000000001,3999.6936,5012.815988880001,118.75640000000001
5337,316000,Leather and Allied Product Manufacturing,15-0000,Computer and Mathematical Occupations,360.0,13.5,71720.0,2.0,66970.0,2016,1434.4,1797.7335200000002,48.6,2811.424,3523.5576992000006,95.256
5547,321000,Wood Product Manufacturing,15-0000,Computer and Mathematical Occupations,760.0,9.5,67430.0,5.3,59770.0,2016,3573.79,4479.0310070000005,72.2,7004.6284,8778.90077372,141.512
5906,322000,Paper Manufacturing,15-0000,Computer and Mathematical Occupations,2270.0,4.7,74700.0,1.6,70000.0,2016,1195.2,1497.94416,106.69,2342.592,2935.9705536,209.11239999999998
