,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
74,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and Mathematical Occupations,200.0,15.6,58390.0,2.7,52190.0,2010,1576.53,1975.865049,31.2,3089.9988,3872.69549604,61.152
213,211000,Oil and Gas Extraction,15-0000,Computer and Mathematical Occupations,3470.0,14.8,85420.0,3.4,80110.0,2010,2904.28,3639.9341240000003,513.56,5692.388800000001,7134.270883040001,1006.5775999999998
376,212000,Mining (except Oil and Gas),15-0000,Computer and Mathematical Occupations,390.0,10.2,64320.0,2.0,62690.0,2010,1286.4,1612.2451200000003,39.779999999999994,2521.344,3160.0004352000005,77.96879999999999
556,213000,Support Activities for Mining,15-0000,Computer and Mathematical Occupations,1320.0,16.8,86100.0,13.0,70290.0,2010,11193.0,14028.186900000002,221.76,21938.28,27495.246324000003,434.64959999999996
755,221000,Utilities,15-0000,Computer and Mathematical Occupations,14910.0,4.2,78300.0,1.2,78020.0,2010,939.6,1177.6006800000002,626.22,1841.616,2308.0973328000005,1227.3912
1006,236000,Construction of Buildings,15-0000,Computer and Mathematical Occupations,3010.0,4.9,65960.0,1.6,63030.0,2010,1055.36,1322.682688,147.49,2068.5056,2592.4580684800003,289.0804
1225,237000,Heavy and Civil Engineering Construction,15-0000,Computer and Mathematical Occupations,1620.0,10.9,66060.0,2.0,62260.0,2010,1321.2,1655.8599600000002,176.58,2589.552,3245.4855216000005,346.09680000000003
1482,238000,Specialty Trade Contractors,15-0000,Computer and Mathematical Occupations,4370.0,9.6,66620.0,2.0,65100.0,2010,1332.4,1669.8969200000001,419.52,2611.504,3272.9979632000004,822.2592
1777,311000,Food Manufacturing,15-0000,Computer and Mathematical Occupations,5330.0,2.1,95800.0,15.1,79150.0,2010,14465.8,18129.98714,111.93,28352.967999999997,35534.7747944,219.3828
2028,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and Mathematical Occupations,860.0,13.4,69470.0,2.5,68980.0,2010,1736.75,2176.668775,115.24,3404.0299999999997,4266.270799,225.8704
2180,313000,Textile Mills,15-0000,Computer and Mathematical Occupations,450.0,8.6,56870.0,1.5,54260.0,2010,853.05,1069.127565,38.7,1671.9779999999998,2095.4900274,75.852
2292,314000,Textile Product Mills,15-0000,Computer and Mathematical Occupations,440.0,4.5,54110.0,2.1,51730.0,2010,1136.31,1424.137323,19.8,2227.1675999999998,2791.3091530799998,38.808
2416,315000,Apparel Manufacturing,15-0000,Computer and Mathematical Occupations,1000.0,11.1,69040.0,2.8,67250.0,2010,1933.12,2422.779296,111.0,3788.9152,4748.64742016,217.56
2520,316000,Leather and Allied Product Manufacturing,15-0000,Computer and Mathematical Occupations,230.0,13.0,64130.0,3.4,64360.0,2010,2180.42,2732.7203860000004,29.9,4273.6232,5356.131956560001,58.604
2617,321000,Wood Product Manufacturing,15-0000,Computer and Mathematical Occupations,530.0,8.3,59140.0,1.6,57130.0,2010,946.24,1185.922592,43.99,1854.6304,2324.40828032,86.2204
2802,322000,Paper Manufacturing,15-0000,Computer and Mathematical Occupations,2480.0,3.7,66190.0,1.0,64400.0,2010,661.9,829.5592700000001,91.76,1297.3239999999998,1625.9361692000002,179.8496
2986,323000,Printing and Related Support Activities,15-0000,Computer and Mathematical Occupations,6010.0,3.9,62890.0,1.2,59970.0,2010,754.68,945.8404439999999,234.39,1479.1727999999998,1853.84727024,459.40439999999995
3151,324000,Petroleum and Coal Products Manufacturing,15-0000,Computer and Mathematical Occupations,2610.0,18.6,88730.0,4.3,85590.0,2010,3815.39,4781.828287,485.4600000000001,7478.1644,9372.38344252,951.5016000000002
3317,325000,Chemical Manufacturing,15-0000,Computer and Mathematical Occupations,18390.0,9.4,80620.0,2.2,78450.0,2010,1773.64,2222.903012,1728.66,3476.3344,4356.88990352,3388.1736
3593,326000,Plastics and Rubber Products Manufacturing,15-0000,Computer and Mathematical Occupations,3290.0,2.8,63230.0,1.1,61070.0,2010,695.53,871.707749,92.12,1363.2387999999999,1708.54718804,180.5552
3796,327000,Nonmetallic Mineral Product Manufacturing,15-0000,Computer and Mathematical Occupations,1210.0,6.7,69020.0,1.8,66500.0,2010,1242.36,1557.049788,81.07,2435.0256,3051.81758448,158.89719999999997
4014,331000,Primary Metal Manufacturing,15-0000,Computer and Mathematical Occupations,2480.0,3.9,65140.0,1.2,64000.0,2010,781.68,979.6795440000001,96.72,1532.0928,1920.1719062400002,189.5712
4223,332000,Fabricated Metal Product Manufacturing,15-0000,Computer and Mathematical Occupations,9040.0,2.4,67800.0,1.6,64780.0,2010,1084.8,1359.5798399999999,216.96,2126.208,2664.7764863999996,425.2416
