,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
167,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and Mathematical Occupations,220.0,8.0,65010.0,2.5,60110.0,2012,1625.25,2036.9258250000003,17.6,3185.49,3992.3746170000004,34.496
477,211000,Oil and Gas Extraction,15-0000,Computer and Mathematical Occupations,6950.0,12.8,98680.0,3.4,92540.0,2012,3355.12,4204.971896,889.6,6576.035199999999,8241.74491616,1743.616
811,212000,Mining (except Oil and Gas),15-0000,Computer and Mathematical Occupations,410.0,8.6,67530.0,2.1,64450.0,2012,1418.13,1777.342329,35.26,2779.5348000000004,3483.59096484,69.1096
1196,213000,Support Activities for Mining,15-0000,Computer and Mathematical Occupations,2140.0,15.4,89090.0,7.5,76470.0,2012,6681.75,8374.237275,329.56,13096.23,16413.505059,645.9376
1606,221000,Utilities,15-0000,Computer and Mathematical Occupations,13900.0,4.0,82170.0,1.3,81770.0,2012,1068.21,1338.787593,556.0,2093.6916,2624.02368228,1089.76
2113,236000,Construction of Buildings,15-0000,Computer and Mathematical Occupations,3420.0,5.3,68220.0,1.7,66310.0,2012,1159.74,1453.5021420000003,181.26,2273.0904,2848.8641983200005,355.26959999999997
2550,237000,Heavy and Civil Engineering Construction,15-0000,Computer and Mathematical Occupations,2110.0,14.1,69620.0,1.7,64760.0,2012,1183.54,1483.330682,297.51,2319.7383999999997,2907.32813672,583.1196
3058,238000,Specialty Trade Contractors,15-0000,Computer and Mathematical Occupations,5460.0,9.5,67970.0,2.5,67310.0,2012,1699.25,2129.670025,518.7,3330.5299999999997,4174.153249,1016.652
3622,311000,Food Manufacturing,15-0000,Computer and Mathematical Occupations,3240.0,10.6,72040.0,3.4,67020.0,2012,2449.36,3069.782888,343.44,4800.7456,6016.77446048,673.1424
4133,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and Mathematical Occupations,840.0,11.7,74430.0,2.2,74380.0,2012,1637.46,2052.228618,98.28,3209.4216,4022.36809128,192.6288
4454,313000,Textile Mills,15-0000,Computer and Mathematical Occupations,480.0,5.5,60170.0,1.6,58340.0,2012,962.72,1206.576976,26.4,1886.9312,2364.8908729600003,51.744
4689,314000,Textile Product Mills,15-0000,Computer and Mathematical Occupations,490.0,5.1,56440.0,1.9,53230.0,2012,1072.36,1343.988788,24.99,2101.8255999999997,2634.21802448,48.980399999999996
4937,315000,Apparel Manufacturing,15-0000,Computer and Mathematical Occupations,1010.0,14.8,71190.0,2.0,69770.0,2012,1423.8,1784.4485400000003,149.48,2790.6479999999997,3497.5191384000004,292.9808
5157,316000,Leather and Allied Product Manufacturing,15-0000,Computer and Mathematical Occupations,300.0,17.8,69120.0,2.7,68640.0,2012,1866.24,2338.958592,53.4,3657.8304,4584.35884032,104.664
5359,321000,Wood Product Manufacturing,15-0000,Computer and Mathematical Occupations,760.0,4.1,63750.0,1.7,62060.0,2012,1083.75,1358.263875,31.159999999999997,2124.15,2662.197195,61.07359999999999
5731,322000,Paper Manufacturing,15-0000,Computer and Mathematical Occupations,2470.0,5.1,68850.0,1.2,66980.0,2012,826.2,1035.47646,125.97,1619.352,2029.5338616000001,246.9012
6111,323000,Printing and Related Support Activities,15-0000,Computer and Mathematical Occupations,6240.0,3.5,66070.0,1.8,62460.0,2012,1189.26,1490.499558,218.4,2330.9496,2921.37913368,428.064
6446,324000,Petroleum and Coal Products Manufacturing,15-0000,Computer and Mathematical Occupations,3100.0,19.6,89680.0,4.5,85920.0,2012,4035.6,5057.817480000001,607.6,7909.776,9913.322260800001,1190.896
6779,325000,Chemical Manufacturing,15-0000,Computer and Mathematical Occupations,15700.0,7.1,81370.0,2.0,78720.0,2012,1627.4,2039.6204200000002,1114.7,3189.704,3997.6560232,2184.812
