,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
153,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and Mathematical Occupations,250.0,16.7,64110.0,2.5,58030.0,2013,1602.75,2008.726575,41.75,3141.39,3937.1040869999997,81.83
460,211000,Oil and Gas Extraction,15-0000,Computer and Mathematical Occupations,7530.0,9.1,97940.0,3.5,92290.0,2013,3427.9,4296.187070000001,685.23,6718.684,8420.526657200002,1343.0508
809,212000,Mining (except Oil and Gas),15-0000,Computer and Mathematical Occupations,440.0,6.6,68420.0,1.8,67040.0,2013,1231.56,1543.514148,29.04,2413.8576,3025.28773008,56.9184
1186,213000,Support Activities for Mining,15-0000,Computer and Mathematical Occupations,2000.0,18.4,89100.0,4.0,88960.0,2013,3564.0,4466.761200000001,368.0,6985.44,8754.851952,721.28
1611,221000,Utilities,15-0000,Computer and Mathematical Occupations,14970.0,4.0,84740.0,1.3,84400.0,2013,1101.62,1380.6603460000001,598.8,2159.1751999999997,2706.09427816,1173.648
2119,236000,Construction of Buildings,15-0000,Computer and Mathematical Occupations,3590.0,5.6,68170.0,1.7,65760.0,2013,1158.89,1452.4368370000002,201.04,2271.4244000000003,2846.77620052,394.03839999999997
2551,237000,Heavy and Civil Engineering Construction,15-0000,Computer and Mathematical Occupations,2890.0,9.3,70120.0,3.1,64810.0,2013,2173.72,2724.323276,268.77000000000004,4260.4911999999995,5339.67362096,526.7892
3034,238000,Specialty Trade Contractors,15-0000,Computer and Mathematical Occupations,5110.0,7.2,67630.0,2.3,65140.0,2013,1555.49,1949.4956170000003,367.92,3048.7604,3821.0114093200004,721.1232
3606,311000,Food Manufacturing,15-0000,Computer and Mathematical Occupations,3540.0,6.6,72750.0,2.9,67770.0,2013,2109.75,2644.149675,233.64,4135.11,5182.5333630000005,457.9344
4113,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and Mathematical Occupations,860.0,10.9,74440.0,2.5,73590.0,2013,1861.0,2332.3913000000002,93.74,3647.56,4571.486948000001,183.73039999999997
4436,313000,Textile Mills,15-0000,Computer and Mathematical Occupations,480.0,6.3,62370.0,1.9,59670.0,2013,1185.03,1485.1980990000002,30.24,2322.6587999999997,2910.9882740400003,59.270399999999995
4675,314000,Textile Product Mills,15-0000,Computer and Mathematical Occupations,420.0,5.5,58690.0,2.1,56570.0,2013,1232.49,1544.6797170000002,23.1,2415.6804,3027.5722453200005,45.276
4916,315000,Apparel Manufacturing,15-0000,Computer and Mathematical Occupations,960.0,16.9,70060.0,1.9,69460.0,2013,1331.14,1668.3177620000001,162.23999999999998,2609.0344,3269.90281352,317.99039999999997
5130,316000,Leather and Allied Product Manufacturing,15-0000,Computer and Mathematical Occupations,240.0,21.5,72360.0,3.1,69630.0,2013,2243.16,2811.352428,51.6,4396.593599999999,5510.25075888,101.136
5335,321000,Wood Product Manufacturing,15-0000,Computer and Mathematical Occupations,800.0,6.7,62880.0,1.9,60850.0,2013,1194.72,1497.342576,53.6,2341.6512,2934.79144896,105.056
5713,322000,Paper Manufacturing,15-0000,Computer and Mathematical Occupations,2410.0,5.6,70100.0,1.5,67460.0,2013,1051.5,1317.84495,134.96,2060.94,2582.9761019999996,264.52160000000003
6090,323000,Printing and Related Support Activities,15-0000,Computer and Mathematical Occupations,6580.0,4.2,68660.0,2.3,64330.0,2013,1579.18,1979.186294,276.36,3095.1928000000003,3879.2051362400002,541.6656
6430,324000,Petroleum and Coal Products Manufacturing,15-0000,Computer and Mathematical Occupations,2520.0,21.9,92620.0,4.8,89570.0,2013,4445.76,5571.871008,551.88,8713.6896,10920.86717568,1081.6848
6784,325000,Chemical Manufacturing,15-0000,Computer and Mathematical Occupations,16700.0,8.5,82520.0,2.2,79900.0,2013,1815.4400000000003,2275.2909520000003,1419.5,3558.2624000000005,4459.570265920001,2782.22
7324,326000,Plastics and Rubber Products Manufacturing,15-0000,Computer and Mathematical Occupations,4350.0,4.1,68230.0,1.4,66070.0,2013,955.22,1197.177226,178.35,1872.2312,2346.46736296,349.566
