,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
172,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and Mathematical Occupations,280.0,12.3,76010.0,4.5,69830.0,2017,3420.45,4286.849985000001,34.44,6704.081999999999,8402.2259706,67.5024
483,211000,Oil and Gas Extraction,15-0000,Computer and Mathematical Occupations,6240.0,10.5,95510.0,1.7,91630.0,2017,1623.67,2034.945611,655.2,3182.3932,3988.49339756,1284.192
832,212000,Mining (except Oil and Gas),15-0000,Computer and Mathematical Occupations,430.0,6.9,70600.0,1.8,66580.0,2017,1270.8,1592.69364,29.67,2490.768,3121.6795343999997,58.153200000000005
1203,213000,Support Activities for Mining,15-0000,Computer and Mathematical Occupations,1410.0,11.0,81110.0,3.6,74780.0,2017,2919.96,3659.5858680000006,155.1,5723.1216,7172.788301280001,303.996
1635,221000,Utilities,15-0000,Computer and Mathematical Occupations,21310.0,4.6,91550.0,1.1,89910.0,2017,1007.0500000000002,1262.1357650000002,980.2599999999999,1973.8180000000002,2473.7860994000002,1921.3095999999998
2159,236000,Construction of Buildings,15-0000,Computer and Mathematical Occupations,5210.0,6.4,79930.0,3.8,72400.0,2017,3037.34,3806.6982220000004,333.44,5953.1864000000005,7461.128515120001,653.5423999999999
2646,237000,Heavy and Civil Engineering Construction,15-0000,Computer and Mathematical Occupations,3260.0,12.8,75860.0,5.5,69000.0,2017,4172.3,5229.143590000001,417.28,8177.7080000000005,10249.1214364,817.8688
3197,238000,Specialty Trade Contractors,15-0000,Computer and Mathematical Occupations,8570.0,7.8,69710.0,2.6,64790.0,2017,1812.46,2271.556118,668.46,3552.4216,4452.249991279999,1310.1816000000001
3781,311000,Food Manufacturing,15-0000,Computer and Mathematical Occupations,5000.0,4.6,73130.0,0.8,68850.0,2017,585.04,733.230632,230.0,1146.6784,1437.13203872,450.8
4305,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and Mathematical Occupations,1220.0,6.2,75370.0,2.5,72580.0,2017,1884.25,2361.530525,75.64,3693.13,4628.599829,148.2544
4640,313000,Textile Mills,15-0000,Computer and Mathematical Occupations,490.0,5.2,70040.0,1.7,65940.0,2017,1190.68,1492.2792440000003,25.48,2333.7328,2924.8673182400007,49.9408
4877,314000,Textile Product Mills,15-0000,Computer and Mathematical Occupations,480.0,6.3,66820.0,2.7,60440.0,2017,1804.14,2261.128662,30.24,3536.1144,4431.81217752,59.270399999999995
5114,315000,Apparel Manufacturing,15-0000,Computer and Mathematical Occupations,840.0,10.0,77270.0,5.2,69950.0,2017,4018.04,5035.809532,84.0,7875.3584,9870.186682720001,164.64
5323,316000,Leather and Allied Product Manufacturing,15-0000,Computer and Mathematical Occupations,300.0,16.6,71300.0,2.6,63480.0,2017,1853.8,2323.36754,49.8,3633.448,4553.8003784,97.60799999999999
5516,321000,Wood Product Manufacturing,15-0000,Computer and Mathematical Occupations,860.0,8.1,69060.0,4.8,60530.0,2017,3314.88,4154.539104,69.66,6497.1648000000005,8142.89664384,136.53359999999998
5896,322000,Paper Manufacturing,15-0000,Computer and Mathematical Occupations,2100.0,4.3,75090.0,1.9,70820.0,2017,1426.71,1788.0956429999999,90.3,2796.3516,3504.66746028,176.988
6276,323000,Printing and Related Support Activities,15-0000,Computer and Mathematical Occupations,5940.0,3.9,67730.0,1.3,63930.0,2017,880.49,1103.518117,231.66,1725.7604,2162.89550932,454.05359999999996
6619,324000,Petroleum and Coal Products Manufacturing,15-0000,Computer and Mathematical Occupations,1150.0,15.4,88530.0,2.7,83960.0,2017,2390.3100000000004,2995.7755230000002,177.1,4685.007600000001,5871.720025080001,347.116
6973,325000,Chemical Manufacturing,15-0000,Computer and Mathematical Occupations,17590.0,5.2,89630.0,2.3,85810.0,2017,2061.49,2583.6654169999997,914.68,4040.5203999999994,5063.9842173199995,1792.7728
7493,326000,Plastics and Rubber Products Manufacturing,15-0000,Computer and Mathematical Occupations,5390.0,3.4,76280.0,1.8,71500.0,2017,1373.04,1720.831032,183.26,2691.1584,3372.82882272,359.1896
7920,327000,Nonmetallic Mineral Product Manufacturing,15-0000,Computer and Mathematical Occupations,1520.0,4.6,71670.0,1.5,67510.0,2017,1075.05,1347.360165,69.91999999999999,2107.098,2640.8259234,137.04319999999998
8340,331000,Primary Metal Manufacturing,15-0000,Computer and Mathematical Occupations,2680.0,4.0,74470.0,1.1,72460.0,2017,819.17,1026.665761,107.2,1605.5731999999998,2012.26489156,210.112
8759,332000,Fabricated Metal Product Manufacturing,15-0000,Computer and Mathematical Occupations,9800.0,2.9,74580.0,1.0,70790.0,2017,745.8,934.71114,284.2,1461.7679999999998,1832.0338344,557.0319999999999
9265,333000,Machinery Manufacturing,15-0000,Computer and Mathematical Occupations,22320.0,2.4,85780.0,1.7,81360.0,2017,1458.26,1827.6372580000002,535.68,2858.1896,3582.1690256800002,1049.9327999999998
9789,334000,Computer and Electronic Product Manufacturing,15-0000,Computer and Mathematical Occupations,139950.0,4.4,107560.0,2.1,104120.0,2017,2258.76,2830.903908,6157.8,4427.1696,5548.571659679999,12069.288
