,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
167,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and Mathematical Occupations,220.0,11.7,68600.0,5.1,61390.0,2015,3498.6,4384.79538,25.74,6857.255999999999,8594.198944799999,50.450399999999995
474,211000,Oil and Gas Extraction,15-0000,Computer and Mathematical Occupations,7660.0,9.5,97190.0,2.7,90740.0,2015,2624.13,3288.8221290000006,727.7,5143.2948,6446.091372840001,1426.2920000000001
853,212000,Mining (except Oil and Gas),15-0000,Computer and Mathematical Occupations,440.0,5.1,71320.0,1.6,69590.0,2015,1141.12,1430.1656960000003,22.44,2236.5951999999997,2803.1247641600003,43.9824
1223,213000,Support Activities for Mining,15-0000,Computer and Mathematical Occupations,2570.0,12.1,91940.0,5.6,89180.0,2015,5148.639999999999,6452.790512,310.97,10091.334399999998,12647.46940352,609.5012
1679,221000,Utilities,15-0000,Computer and Mathematical Occupations,18470.0,3.2,87900.0,1.2,86760.0,2015,1054.8,1321.98084,591.04,2067.408,2591.0824463999998,1158.4384
2207,236000,Construction of Buildings,15-0000,Computer and Mathematical Occupations,4240.0,4.4,72990.0,2.6,69040.0,2015,1897.74,2378.437542,186.56,3719.5704,4661.73758232,365.6576
2672,237000,Heavy and Civil Engineering Construction,15-0000,Computer and Mathematical Occupations,2520.0,9.9,71140.0,3.5,65030.0,2015,2489.9,3120.5916700000002,249.48,4880.204,6116.3596732000005,488.9808
3168,238000,Specialty Trade Contractors,15-0000,Computer and Mathematical Occupations,6090.0,6.4,69830.0,1.9,65350.0,2015,1326.77,1662.8408410000002,389.76,2600.4692,3259.1680483600003,763.9295999999999
3745,311000,Food Manufacturing,15-0000,Computer and Mathematical Occupations,4260.0,6.9,71530.0,1.4,67830.0,2015,1001.42,1255.079686,293.94,1962.7831999999999,2459.95618456,576.1224
4272,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and Mathematical Occupations,920.0,8.0,73650.0,2.4,70550.0,2015,1767.6,2215.3330800000003,73.6,3464.4959999999996,4342.0528368000005,144.256
4589,313000,Textile Mills,15-0000,Computer and Mathematical Occupations,510.0,5.4,66810.0,2.2,64230.0,2015,1469.82,1842.125406,27.54,2880.8471999999997,3610.56579576,53.9784
4825,314000,Textile Product Mills,15-0000,Computer and Mathematical Occupations,490.0,6.1,63960.0,2.5,62990.0,2015,1599.0,2004.0267000000001,29.89,3134.04,3927.8923320000004,58.5844
5085,315000,Apparel Manufacturing,15-0000,Computer and Mathematical Occupations,740.0,9.1,73590.0,2.7,70130.0,2015,1986.93,2490.2193690000004,67.34,3894.3828,4880.82996324,131.9864
5304,316000,Leather and Allied Product Manufacturing,15-0000,Computer and Mathematical Occupations,260.0,20.4,73710.0,3.5,70700.0,2015,2579.85,3233.326005,53.04,5056.505999999999,6337.3189698,103.9584
5507,321000,Wood Product Manufacturing,15-0000,Computer and Mathematical Occupations,760.0,9.4,65960.0,6.3,58700.0,2015,4155.48,5208.063084,71.44,8144.740799999999,10207.80364464,140.0224
5873,322000,Paper Manufacturing,15-0000,Computer and Mathematical Occupations,2450.0,4.7,74240.0,1.9,69680.0,2015,1410.56,1767.854848,115.15,2764.6976,3464.99550208,225.69400000000002
6252,323000,Printing and Related Support Activities,15-0000,Computer and Mathematical Occupations,5980.0,3.8,67250.0,1.2,63950.0,2015,807.0,1011.4131000000001,227.24,1581.72,1982.3696760000003,445.3904
6587,324000,Petroleum and Coal Products Manufacturing,15-0000,Computer and Mathematical Occupations,1420.0,14.2,83570.0,3.0,80040.0,2015,2507.1,3142.1484299999997,201.64,4913.916,6158.6109228,395.21439999999996
6946,325000,Chemical Manufacturing,15-0000,Computer and Mathematical Occupations,16230.0,8.4,85540.0,2.5,82490.0,2015,2138.5,2680.1820500000003,1363.32,4191.46,5253.156818,2672.1072
7474,326000,Plastics and Rubber Products Manufacturing,15-0000,Computer and Mathematical Occupations,4150.0,3.7,70780.0,1.5,66170.0,2015,1061.7,1330.62861,153.55,2080.9320000000002,2608.0320756,300.958
7907,327000,Nonmetallic Mineral Product Manufacturing,15-0000,Computer and Mathematical Occupations,1110.0,5.3,69530.0,1.7,67340.0,2015,1182.01,1481.413133,58.83,2316.7396,2903.56974068,115.3068
8320,331000,Primary Metal Manufacturing,15-0000,Computer and Mathematical Occupations,2690.0,4.1,68400.0,1.1,66580.0,2015,752.4,942.98292,110.28999999999998,1474.704,1848.2465232,216.16839999999996
8734,332000,Fabricated Metal Product Manufacturing,15-0000,Computer and Mathematical Occupations,9950.0,2.4,70310.0,1.0,66860.0,2015,703.1,881.19523,238.8,1378.076,1727.1426508,468.048
9278,333000,Machinery Manufacturing,15-0000,Computer and Mathematical Occupations,22590.0,4.3,83620.0,2.0,80360.0,2015,1672.4,2096.0189200000004,971.37,3277.904,4108.197083200001,1903.8852
