,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,YEAR,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
159,115000,Support Activities for Agriculture and Forestry,15-0000,Computer and Mathematical Occupations,220.0,11.4,63640.0,2.7,58890.0,2014,1718.28,2153.520324,25.08,3367.8288,4220.89983504,49.1568
455,211000,Oil and Gas Extraction,15-0000,Computer and Mathematical Occupations,8260.0,8.1,98980.0,3.0,92980.0,2014,2969.4,3721.54902,669.06,5820.024,7294.2360792,1311.3575999999998
825,212000,Mining (except Oil and Gas),15-0000,Computer and Mathematical Occupations,480.0,6.3,70890.0,1.6,69680.0,2014,1134.24,1421.5429920000001,30.24,2223.1104,2786.22426432,59.270399999999995
1203,213000,Support Activities for Mining,15-0000,Computer and Mathematical Occupations,3310.0,10.8,94850.0,4.1,93450.0,2014,3888.8499999999995,4873.895705,357.48,7622.145999999999,9552.8355818,700.6608
1652,221000,Utilities,15-0000,Computer and Mathematical Occupations,17070.0,3.8,86530.0,1.2,85940.0,2014,1038.36,1301.376588,648.66,2035.1855999999998,2550.69811248,1271.3736
2177,236000,Construction of Buildings,15-0000,Computer and Mathematical Occupations,3390.0,5.6,68670.0,1.7,65960.0,2014,1167.39,1463.089887,189.84,2288.0844,2867.65617852,372.0864
2621,237000,Heavy and Civil Engineering Construction,15-0000,Computer and Mathematical Occupations,2720.0,11.1,71660.0,3.5,66340.0,2014,2508.1,3143.40173,301.92,4915.875999999999,6161.0673908,591.7632
3688,311000,Food Manufacturing,15-0000,Computer and Mathematical Occupations,3830.0,9.2,71180.0,1.7,68040.0,2014,1210.06,1516.568198,352.36,2371.7176,2972.4736680799997,690.6256
4195,312000,Beverage and Tobacco Product Manufacturing,15-0000,Computer and Mathematical Occupations,840.0,10.0,76650.0,2.1,75770.0,2014,1609.65,2017.374345,84.0,3154.914,3954.0537162,164.64
4521,313000,Textile Mills,15-0000,Computer and Mathematical Occupations,530.0,8.8,64160.0,2.1,62970.0,2014,1347.36,1688.6462880000001,46.64,2640.8255999999997,3309.74672448,91.4144
4762,314000,Textile Product Mills,15-0000,Computer and Mathematical Occupations,480.0,6.7,61220.0,2.0,59590.0,2014,1224.4,1534.54052,32.16,2399.824,3007.6994192,63.03359999999999
5021,315000,Apparel Manufacturing,15-0000,Computer and Mathematical Occupations,940.0,13.5,73110.0,2.0,70440.0,2014,1462.2,1832.57526,126.9,2865.9120000000003,3591.8475096,248.72400000000002
5236,316000,Leather and Allied Product Manufacturing,15-0000,Computer and Mathematical Occupations,280.0,20.1,74880.0,3.0,72470.0,2014,2246.4,2815.41312,56.28,4402.944,5518.209715200001,110.3088
5439,321000,Wood Product Manufacturing,15-0000,Computer and Mathematical Occupations,910.0,6.7,63480.0,1.6,61710.0,2014,1015.68,1272.951744,60.97,1990.7327999999998,2494.98541824,119.5012
5814,322000,Paper Manufacturing,15-0000,Computer and Mathematical Occupations,2450.0,4.5,72270.0,1.7,68430.0,2014,1228.59,1539.7918470000002,110.25,2408.0364,3017.9920201200002,216.09
6191,323000,Printing and Related Support Activities,15-0000,Computer and Mathematical Occupations,6480.0,4.1,66110.0,1.1,62120.0,2014,727.21,911.4122930000001,265.67999999999995,1425.3316,1786.3680942800002,520.7327999999999
6522,324000,Petroleum and Coal Products Manufacturing,15-0000,Computer and Mathematical Occupations,1820.0,23.1,93230.0,5.3,88020.0,2014,4941.19,6192.7934270000005,420.42,9684.732399999999,12137.87511692,824.0232
